year,class,emirate,nationality,guests,nights
2005,4 star,  Ras Al Khaima & Fujeira ,Other G. C. C,2495,4273
2005,3 star ,  Ras Al Khaima & Fujeira ,Other G. C. C,1654,3144
2005,2 star,  Ras Al Khaima & Fujeira ,Other G. C. C,-,-
2004,5 star,abu dhabi,Other G. C. C,32149,71902
2004,4 star,abu dhabi,Other G. C. C,66901,97783
2004,3 star ,abu dhabi,Other G. C. C,3045,4650
2004,2 star,abu dhabi,Other G. C. C,-,-
2004,5 star,dubai,Other G. C. C,281368,719119
2004,4 star,dubai,Other G. C. C,76848,182285
2004,3 star ,dubai,Other G. C. C,222454,466426
2004,2 star,dubai,Other G. C. C,277860,437475
2004,5 star,sharjah and Ajman,Other G. C. C,8832,17483
2004,4 star,sharjah and Ajman,Other G. C. C,14920,26092
2004,3 star ,sharjah and Ajman,Other G. C. C,8308,22144
2004,2 star,sharjah and Ajman,Other G. C. C,652,1731
2004,5 star, Umm Al-Qiwain,Other G. C. C,260,575
2004,4 star, Umm Al-Qiwain,Other G. C. C,-,-
2004,3 star , Umm Al-Qiwain,Other G. C. C,-,-
2004,2 star, Umm Al-Qiwain,Other G. C. C,2831,6138
2004,5 star,  Ras Al Khaima & Fujeira ,Other G. C. C,2213,4336
2004,4 star,  Ras Al Khaima & Fujeira ,Other G. C. C,2307,3545
2004,3 star ,  Ras Al Khaima & Fujeira ,Other G. C. C,1119,2452
2004,2 star,  Ras Al Khaima & Fujeira ,Other G. C. C,-,-
2003,5 star,abu dhabi,Other G. C. C,28394,66334
2003,4 star,abu dhabi,Other G. C. C,60749,88582
2003,3 star ,abu dhabi,Other G. C. C,1669,2820
2003,2 star,abu dhabi,Other G. C. C,0,0
2003,5 star,dubai,Other G. C. C,280969,706708
2003,4 star,dubai,Other G. C. C,78686,169931
2003,3 star ,dubai,Other G. C. C,216206,391582
2003,2 star,dubai,Other G. C. C,260854,375418
2003,5 star,sharjah and Ajman,Other G. C. C,19397,62722
2003,4 star,sharjah and Ajman,Other G. C. C,23539,57944
2003,3 star ,sharjah and Ajman,Other G. C. C,8040,16850
2003,2 star,sharjah and Ajman,Other G. C. C,1451,3047
2003,5 star, Umm Al-Qiwain,Other G. C. C,437,658
2003,4 star, Umm Al-Qiwain,Other G. C. C,661,1187
2003,3 star , Umm Al-Qiwain,Other G. C. C,0,0
2003,2 star, Umm Al-Qiwain,Other G. C. C,1044,4797
2003,5 star,  Ras Al Khaima & Fujeira ,Other G. C. C,1852,3781
2003,4 star,  Ras Al Khaima & Fujeira ,Other G. C. C,1144,2821
2003,3 star ,  Ras Al Khaima & Fujeira ,Other G. C. C,1518,3644
2003,2 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
2002,5 star,abu dhabi,Other G. C. C,22721,51349
2002,4 star,abu dhabi,Other G. C. C,84585,113185
2002,3 star ,abu dhabi,Other G. C. C,1790,2536
2002,2 star,abu dhabi,Other G. C. C,0,0
2002,5 star,dubai,Other G. C. C,277226,572187
2002,4 star,dubai,Other G. C. C,59389,116886
2002,3 star ,dubai,Other G. C. C,235962,411629
2002,2 star,dubai,Other G. C. C,260537,324709
2002,5 star,sharjah and Ajman,Other G. C. C,9168,30390
2002,4 star,sharjah and Ajman,Other G. C. C,20352,47802
2002,3 star ,sharjah and Ajman,Other G. C. C,10541,19467
2002,2 star,sharjah and Ajman,Other G. C. C,1711,2708
2002,5 star, Umm Al-Qiwain,Other G. C. C,566,938
2002,4 star, Umm Al-Qiwain,Other G. C. C,589,990
2002,3 star , Umm Al-Qiwain,Other G. C. C,0,0
2002,2 star, Umm Al-Qiwain,Other G. C. C,1153,5920
2002,5 star,  Ras Al Khaima & Fujeira ,Other G. C. C,1222,2082
2002,4 star,  Ras Al Khaima & Fujeira ,Other G. C. C,1303,2496
2002,3 star ,  Ras Al Khaima & Fujeira ,Other G. C. C,1476,4259
2002,2 star,  Ras Al Khaima & Fujeira ,Other G. C. C,0,0
2001,5 star,abu dhabi,Other G. C. C,20195,45357
2001,4 star,abu dhabi,Other G. C. C,70608,109398
2001,3 star ,abu dhabi,Other G. C. C,1482,2069
2001,2 star,abu dhabi,Other G. C. C,0,0
2001,5 star,dubai,Other G. C. C,187555,396699
2001,4 star,dubai,Other G. C. C,64158,133396
