year,class,item,emirate,nationality,value
1992,4 star,guests,abu dhabi,India,7559
1992,4star,nights,abu dhabi,India,43126
1992,3 star,guests,abu dhabi,India,1155
1992,3 star,nights,abu dhabi,India,1837
1992,2 star,guests,abu dhabi,India,0
1992,2 star,nights,abu dhabi,India,0
1992,5 star,guests,dubai,India,6350
1992,5 star,nights,dubai,India,16160
1992,4 star,guests,dubai,India,31100
1992,4star,nights,dubai,India,61833
1992,3 star,guests,dubai,India,12851
1992,3 star,nights,dubai,India,39017
1992,2 star,guests,dubai,India,44095
1992,2 star,nights,dubai,India,122490
1992,5 star,guests,sharjah,India,4817
1992,5 star,nights,sharjah,India,13764
1992,4 star,guests,sharjah,India,2735
1992,4star,nights,sharjah,India,15228
1992,3 star,guests,sharjah,India,0
1992,3 star,nights,sharjah,India,0
1992,2 star,guests,sharjah,India,0
1992,2 star,nights,sharjah,India,0
1992,5 star,guests,Ajman and Umm Al-Qiwain,India,0
1992,5 star,nights,Ajman and Umm Al-Qiwain,India,0
1992,4 star,guests,Ajman and Umm Al-Qiwain,India,0
1992,4star,nights,Ajman and Umm Al-Qiwain,India,0
1992,3 star,guests,Ajman and Umm Al-Qiwain,India,0
1992,3 star,nights,Ajman and Umm Al-Qiwain,India,0
1992,2 star,guests,Ajman and Umm Al-Qiwain,India,0
1992,2 star,nights,Ajman and Umm Al-Qiwain,India,0
1992,5 star,guests,Ras Al Khaima & Fujeira,India,0
1992,5 star,nights,Ras Al Khaima & Fujeira,India,0
1992,4 star,guests,Ras Al Khaima & Fujeira,India,0
1992,4star,nights,Ras Al Khaima & Fujeira,India,0
1992,3 star,guests,Ras Al Khaima & Fujeira,India,0
1992,3 star,nights,Ras Al Khaima & Fujeira,India,0
1992,2 star,guests,Ras Al Khaima & Fujeira,India,0
1992,2 star,nights,Ras Al Khaima & Fujeira,India,0
1991,5 star,guests,abu dhabi,India,2653
1991,5 star,nights,abu dhabi,India,7064
1991,4 star,guests,abu dhabi,India,6634
1991,4star,nights,abu dhabi,India,31450
1991,3 star,guests,abu dhabi,India,1157
1991,3 star,nights,abu dhabi,India,1929
1991,2 star,guests,abu dhabi,India,0
1991,2 star,nights,abu dhabi,India,0
1991,5 star,guests,dubai,India,6568
1991,5 star,nights,dubai,India,16521
1991,4 star,guests,dubai,India,22847
1991,4star,nights,dubai,India,48907
1991,3 star,guests,dubai,India,7522
1991,3 star,nights,dubai,India,23610
1991,2 star,guests,dubai,India,27234
1991,2 star,nights,dubai,India,71916
1991,5 star,guests,sharjah,India,2507
1991,5 star,nights,sharjah,India,8171
1991,4 star,guests,sharjah,India,1853
1991,4star,nights,sharjah,India,14351
1991,3 star,guests,sharjah,India,0
1991,3 star,nights,sharjah,India,0
1991,2 star,guests,sharjah,India,0
1991,2 star,nights,sharjah,India,0
1991,5 star,guests,Ajman and Umm Al-Qiwain,India,0
1991,5 star,nights,Ajman and Umm Al-Qiwain,India,0
1991,4 star,guests,Ajman and Umm Al-Qiwain,India,0
1991,4star,nights,Ajman and Umm Al-Qiwain,India,0
1991,3 star,guests,Ajman and Umm Al-Qiwain,India,0
1991,3 star,nights,Ajman and Umm Al-Qiwain,India,0
1991,2 star,guests,Ajman and Umm Al-Qiwain,India,0
1991,2 star,nights,Ajman and Umm Al-Qiwain,India,0
1991,5 star,guests,Ras Al Khaima & Fujeira,India,0
1991,5 star,nights,Ras Al Khaima & Fujeira,India,0
1991,4 star,guests,Ras Al Khaima & Fujeira,India,0
1991,4star,nights,Ras Al Khaima & Fujeira,India,0
1991,3 star,guests,Ras Al Khaima & Fujeira,India,0
1991,3 star,nights,Ras Al Khaima & Fujeira,India,0
