year,class,item,emirate,nationality,value
1988,3 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1988,2 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1988,2 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1988,5 star,guests, Ras Al Khaima & Fujeira,Britan,0
1988,5 star,nights, Ras Al Khaima & Fujeira,Britan,0
1988,4 star,guests, Ras Al Khaima & Fujeira,Britan,0
1988,4star,nights, Ras Al Khaima & Fujeira,Britan,0
1988,3 star,guests, Ras Al Khaima & Fujeira,Britan,0
1988,3 star,nights, Ras Al Khaima & Fujeira,Britan,0
1988,2 star,guests, Ras Al Khaima & Fujeira,Britan,0
1988,2 star,nights, Ras Al Khaima & Fujeira,Britan,0
1987,5 star,guests,abu dhabi,Britan,23947
1987,5 star,nights,abu dhabi,Britan,54492
1987,4 star,guests,abu dhabi,Britan,20410
1987,4star,nights,abu dhabi,Britan,47175
1987,3 star,guests,abu dhabi,Britan,0
1987,3 star,nights,abu dhabi,Britan,0
1987,2 star,guests,abu dhabi,Britan,0
1987,2 star,nights,abu dhabi,Britan,0
1987,5 star,guests,dubai,Britan,39701
1987,5 star,nights,dubai,Britan,125453
1987,4 star,guests,dubai,Britan,6478
1987,4star,nights,dubai,Britan,19519
1987,3 star,guests,dubai,Britan,145
1987,3 star,nights,dubai,Britan,562
1987,2 star,guests,dubai,Britan,15
1987,2 star,nights,dubai,Britan,33
1987,5 star,guests,sharjah,Britan,3299
1987,5 star,nights,sharjah,Britan,8232
1987,4 star,guests,sharjah,Britan,1360
1987,4star,nights,sharjah,Britan,14217
1987,3 star,guests,sharjah,Britan,0
1987,3 star,nights,sharjah,Britan,0
1987,2 star,guests,sharjah,Britan,0
1987,2 star,nights,sharjah,Britan,0
1987,5 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1987,5 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1987,4 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1987,4star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1987,3 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1987,3 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1987,2 star,guests,Ajman and Umm Al-Qiwain  ,Britan,0
1987,2 star,nights,Ajman and Umm Al-Qiwain  ,Britan,0
1987,5 star,guests, Ras Al Khaima & Fujeira,Britan,0
1987,5 star,nights, Ras Al Khaima & Fujeira,Britan,0
1987,4 star,guests, Ras Al Khaima & Fujeira,Britan,0
1987,4star,nights, Ras Al Khaima & Fujeira,Britan,0
1987,3 star,guests, Ras Al Khaima & Fujeira,Britan,0
1987,3 star,nights, Ras Al Khaima & Fujeira,Britan,0
1987,2 star,guests, Ras Al Khaima & Fujeira,Britan,0
1987,2 star,nights, Ras Al Khaima & Fujeira,Britan,0
1986,5 star,guests,abu dhabi,Britan,25023
1986,5 star,nights,abu dhabi,Britan,62110
1986,4 star,guests,abu dhabi,Britan,18772
1986,4star,nights,abu dhabi,Britan,43838
1986,3 star,guests,abu dhabi,Britan,0
1986,3 star,nights,abu dhabi,Britan,0
1986,2 star,guests,abu dhabi,Britan,0
1986,2 star,nights,abu dhabi,Britan,0
1986,5 star,guests,dubai,Britan,39977
1986,5 star,nights,dubai,Britan,125495
1986,4 star,guests,dubai,Britan,5729
1986,4star,nights,dubai,Britan,18739
1986,3 star,guests,dubai,Britan,135
1986,3 star,nights,dubai,Britan,439
1986,2 star,guests,dubai,Britan,2
1986,2 star,nights,dubai,Britan,18
1986,5 star,guests,sharjah and ajman,Britan,3885
1986,5 star,nights,sharjah and ajman,Britan,9942
1986,4 star,guests,sharjah and ajman,Britan,1568
1986,4star,nights,sharjah and ajman,Britan,23302
1986,3 star,guests,sharjah and ajman,Britan,0
1986,3 star,nights,sharjah and ajman,Britan,0
1986,2 star,guests,sharjah and ajman,Britan,0
1986,2 star,nights,sharjah and ajman,Britan,0
1986,5 star,guests,Umm Al-Qiwain  ,Britan,0
1986,5 star,nights,Umm Al-Qiwain  ,Britan,0
1986,4 star,guests,Umm Al-Qiwain  ,Britan,0
1986,4star,nights,Umm Al-Qiwain  ,Britan,0
1986,3 star,guests,Umm Al-Qiwain  ,Britan,0
1986,3 star,nights,Umm Al-Qiwain  ,Britan,0
1986,2 star,guests,Umm Al-Qiwain  ,Britan,0
1986,2 star,nights,Umm Al-Qiwain  ,Britan,0
1986,5 star,guests, Ras Al Khaima & Fujeira,Britan,0
1986,5 star,nights, Ras Al Khaima & Fujeira,Britan,0
1986,4 star,guests, Ras Al Khaima & Fujeira,Britan,0
1986,4star,nights, Ras Al Khaima & Fujeira,Britan,0
1986,3 star,guests, Ras Al Khaima & Fujeira,Britan,0
1986,3 star,nights, Ras Al Khaima & Fujeira,Britan,0
1986,2 star,guests, Ras Al Khaima & Fujeira,Britan,0
1986,2 star,nights, Ras Al Khaima & Fujeira,Britan,0
1985,5 star,guests,abu dhabi,Britan,24873
1985,5 star,nights,abu dhabi,Britan,68736
1985,4 star,guests,abu dhabi,Britan,27287
1985,4star,nights,abu dhabi,Britan,67292
1985,3 star,guests,abu dhabi,Britan,0
1985,3 star,nights,abu dhabi,Britan,0
1985,2 star,guests,abu dhabi,Britan,0
1985,2 star,nights,abu dhabi,Britan,0
1985,5 star,guests,dubai,Britan,40742
1985,5 star,nights,dubai,Britan,126065
1985,4 star,guests,dubai,Britan,5829
1985,4star,nights,dubai,Britan,19375
1985,3 star,guests,dubai,Britan,190
1985,3 star,nights,dubai,Britan,912
1985,2 star,guests,dubai,Britan,25
1985,2 star,nights,dubai,Britan,317
1985,5 star,guests,sharjah and ajman,Britan,7789
1985,5 star,nights,sharjah and ajman,Britan,19455
1985,4 star,guests,sharjah and ajman,Britan,2775
1985,4star,nights,sharjah and ajman,Britan,22989
1985,3 star,guests,sharjah and ajman,Britan,0
1985,3 star,nights,sharjah and ajman,Britan,0
1985,2 star,guests,sharjah and ajman,Britan,0
1985,2 star,nights,sharjah and ajman,Britan,0
1985,5 star,guests,Umm Al-Qiwain  ,Britan,0
1985,5 star,nights,Umm Al-Qiwain  ,Britan,0
1985,4 star,guests,Umm Al-Qiwain  ,Britan,0
1985,4star,nights,Umm Al-Qiwain  ,Britan,0
1985,3 star,guests,Umm Al-Qiwain  ,Britan,0
1985,3 star,nights,Umm Al-Qiwain  ,Britan,0
1985,2 star,guests,Umm Al-Qiwain  ,Britan,0
1985,2 star,nights,Umm Al-Qiwain  ,Britan,0
1985,5 star,guests, Ras Al Khaima & Fujeira,Britan,0
1985,5 star,nights, Ras Al Khaima & Fujeira,Britan,0
1985,4 star,guests, Ras Al Khaima & Fujeira,Britan,0
1985,4star,nights, Ras Al Khaima & Fujeira,Britan,0
1985,3 star,guests, Ras Al Khaima & Fujeira,Britan,0
1985,3 star,nights, Ras Al Khaima & Fujeira,Britan,0
1985,2 star,guests, Ras Al Khaima & Fujeira,Britan,0
1985,2 star,nights, Ras Al Khaima & Fujeira,Britan,0
2005,5 star,guests,abu dhabi,Britan,44916
2005,5 star,nights,abu dhabi,Britan,159392
2005,4 star,guests,abu dhabi,Britan,28527
2005,4star,nights,abu dhabi,Britan,92584
2005,3 star,guests,abu dhabi,Britan,307
2005,3 star,nights,abu dhabi,Britan,790
2005,2 star,guests,abu dhabi,Britan,-
2005,2 star,nights,abu dhabi,Britan,-
2005,5 star,guests,dubai,Britan,403841
2005,5 star,nights,dubai,Britan,1270495
2005,4 star,guests,dubai,Britan,112727
2005,4star,nights,dubai,Britan,318312
2005,3 star,guests,dubai,Britan,86460
2005,3 star,nights,dubai,Britan,238820
2005,2 star,guests,dubai,Britan,15652
2005,2 star,nights,dubai,Britan,46310
2005,5 star,guests,sharjah,Britan,2830
2005,5 star,nights,sharjah,Britan,13875
2005,4 star,guests,sharjah,Britan,4399
2005,4star,nights,sharjah,Britan,13600
2005,3 star,guests,sharjah,Britan,481
2005,3 star,nights,sharjah,Britan,2919
2005,2 star,guests,sharjah,Britan,233
2005,2 star,nights,sharjah,Britan,1812
2005,5 star,guests,Ajman,Britan,4531
2005,5 star,nights,Ajman,Britan,5518
2005,4 star,guests,Ajman,Britan,781
2005,4star,nights,Ajman,Britan,1907
2005,3 star,guests,Ajman,Britan,-
2005,3 star,nights,Ajman,Britan,-
2005,2 star,guests,Ajman,Britan,682
2005,2 star,nights,Ajman,Britan,1501
2005,5 star,guests, Ras Al Khaima & Fujeira,Britan,13993
2005,5 star,nights, Ras Al Khaima & Fujeira,Britan,46472
2005,4 star,guests, Ras Al Khaima & Fujeira,Britan,885
2005,4star,nights, Ras Al Khaima & Fujeira,Britan,3040
2005,3 star,guests, Ras Al Khaima & Fujeira,Britan,868
2005,3 star,nights, Ras Al Khaima & Fujeira,Britan,2317
2005,2 star,guests, Ras Al Khaima & Fujeira,Britan,-
2005,2 star,nights, Ras Al Khaima & Fujeira,Britan,-
2004,5 star,guests,abu dhabi,Britan,39034
2004,5 star,nights,abu dhabi,Britan,119714
2004,4 star,guests,abu dhabi,Britan,25359
2004,4star,nights,abu dhabi,Britan,93199
2004,3 star,guests,abu dhabi,Britan,264
2004,3 star,nights,abu dhabi,Britan,652
2004,2 star,guests,abu dhabi,Britan,-
2004,2 star,nights,abu dhabi,Britan,-
2004,5 star,guests,dubai,Britan,384565
2004,5 star,nights,dubai,Britan,1204781
2004,4 star,guests,dubai,Britan,100269
2004,4star,nights,dubai,Britan,306413
2004,3 star,guests,dubai,Britan,66491
2004,3 star,nights,dubai,Britan,175635
2004,2 star,guests,dubai,Britan,10974
2004,2 star,nights,dubai,Britan,30008
2004,5 star,guests,sharjah,Britan,2180
2004,5 star,nights,sharjah,Britan,5461
2004,4 star,guests,sharjah,Britan,4176
2004,4star,nights,sharjah,Britan,11972
2004,3 star,guests,sharjah,Britan,624
2004,3 star,nights,sharjah,Britan,2962
2004,2 star,guests,sharjah,Britan,134
2004,2 star,nights,sharjah,Britan,1060
2004,5 star,guests,Ajman and Umm Al-Qiwain  ,Britan,1495
2004,5 star,nights,Ajman and Umm Al-Qiwain  ,Britan,10117
2004,4 star,guests,Ajman and Umm Al-Qiwain  ,Britan,-
2004,4star,nights,Ajman and Umm Al-Qiwain  ,Britan,-
2004,3 star,guests,Ajman and Umm Al-Qiwain  ,Britan,-
2004,3 star,nights,Ajman and Umm Al-Qiwain  ,Britan,-
2004,2 star,guests,Ajman and Umm Al-Qiwain  ,Britan,94
2004,2 star,nights,Ajman and Umm Al-Qiwain  ,Britan,1411
2004,5 star,guests, Ras Al Khaima & Fujeira,Britan,10094
2004,5 star,nights, Ras Al Khaima & Fujeira,Britan,33466
2004,4 star,guests, Ras Al Khaima & Fujeira,Britan,846
2004,4star,nights, Ras Al Khaima & Fujeira,Britan,2386
2004,3 star,guests, Ras Al Khaima & Fujeira,Britan,674
2004,3 star,nights, Ras Al Khaima & Fujeira,Britan,3687
2004,2 star,guests, Ras Al Khaima & Fujeira,Britan,-
2004,2 star,nights, Ras Al Khaima & Fujeira,Britan,-
2003,5 star,guests,abu dhabi,Britan,27812
2003,5 star,nights,abu dhabi,Britan,81947
2003,4 star,guests,abu dhabi,Britan,25187
2003,4star,nights,abu dhabi,Britan,97292
2003,3 star,guests,abu dhabi,Britan,287
2003,3 star,nights,abu dhabi,Britan,623
2003,2 star,guests,abu dhabi,Britan,0
2003,2 star,nights,abu dhabi,Britan,0
2003,5 star,guests,dubai,Britan,252612
2003,5 star,nights,dubai,Britan,900884
2003,4 star,guests,dubai,Britan,92256
2003,4star,nights,dubai,Britan,244044
2003,3 star,guests,dubai,Britan,63213
